Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 20,181.303596,126.161737,,,,,,,,,0.000000,0.000000,No
Block 20,167.799431,152.950495,,,,,,,,,,,
Block 20,178.013286,157.960941,,,,,,,,,,,
Block 20,190.932534,130.885250,,,,,,,,,,,
Block 20,181.303596,126.161737,,,,,,,,,,,
Block 21,190.932534,130.885250,,,,,,,,,0.000000,0.000000,No
Block 21,178.013286,157.960941,,,,,,,,,,,
Block 21,188.333536,162.748406,,,,,,,,,,,
Block 21,200.661775,135.398551,,,,,,,,,,,
Block 21,190.932534,130.885250,,,,,,,,,,,
Block 22,200.661775,135.398551,,,,,,,,,0.000000,0.000000,No
Block 22,188.333536,162.748406,,,,,,,,,,,
Block 22,198.755316,167.310632,,,,,,,,,,,
Block 22,210.486730,139.699512,,,,,,,,,,,
Block 22,200.661775,135.398551,,,,,,,,,,,
Block 23,210.486730,139.699512,,,,,,,,,0.000000,0.000000,No
Block 23,198.755316,167.310632,,,,,,,,,,,
Block 23,209.273709,171.645468,,,,,,,,,,,
Block 23,220.402766,143.786105,,,,,,,,,,,
Block 23,210.486730,139.699512,,,,,,,,,,,
Block 24,220.402766,143.786105,,,,,,,,,0.000000,0.000000,No
Block 24,209.273709,171.645468,,,,,,,,,,,
Block 24,219.883755,175.750869,,,,,,,,,,,
Block 24,230.405207,147.656402,,,,,,,,,,,
Block 24,220.402766,143.786105,,,,,,,,,,,
Block 25,230.405207,147.656402,,,,,,,,,0.000000,0.000000,No
Block 25,219.883755,175.750869,,,,,,,,,,,
Block 25,230.580450,179.624899,,,,,,,,,,,
Block 25,240.489335,151.308578,,,,,,,,,,,
Block 25,230.405207,147.656402,,,,,,,,,,,
Block 26,240.489335,151.308578,,,,,,,,,0.000000,0.000000,No
Block 26,230.580450,179.624899,,,,,,,,,,,
Block 26,241.358750,183.265731,,,,,,,,,,,
Block 26,250.650393,154.740911,,,,,,,,,,,
Block 26,240.489335,151.308578,,,,,,,,,,,
Block 27,250.650393,154.740911,,,,,,,,,0.000000,0.000000,No
Block 27,241.358750,183.265731,,,,,,,,,,,
Block 27,252.213570,186.671648,,,,,,,,,,,
Block 27,260.883591,157.951781,,,,,,,,,,,
Block 27,250.650393,154.740911,,,,,,,,,,,
Block 28,260.883591,157.951781,,,,,,,,,0.000000,0.000000,No
Block 28,252.213570,186.671648,,,,,,,,,,,
Block 28,263.139792,189.841043,,,,,,,,,,,
Block 28,271.184101,160.939675,,,,,,,,,,,
Block 28,260.883591,157.951781,,,,,,,,,,,
Block 29,271.184101,160.939675,,,,,,,,,0.000000,0.000000,No
Block 29,263.139792,189.841043,,,,,,,,,,,
Block 29,274.132263,192.772422,,,,,,,,,,,
Block 29,281.547066,163.703183,,,,,,,,,,,
Block 29,271.184101,160.939675,,,,,,,,,,,
Block 30,281.547066,163.703183,,,,,,,,,0.000000,0.000000,No
Block 30,274.132263,192.772422,,,,,,,,,,,
Block 30,285.185798,195.464403,,,,,,,,,,,
Block 30,291.967598,166.241002,,,,,,,,,,,
Block 30,281.547066,163.703183,,,,,,,,,,,
Block 31,291.967598,166.241002,,,,,,,,,0.000000,0.000000,No
Block 31,285.185798,195.464403,,,,,,,,,,,
Block 31,296.295184,197.915715,,,,,,,,,,,
Block 31,302.440783,168.551935,,,,,,,,,,,
Block 31,291.967598,166.241002,,,,,,,,,,,
Block 32,302.440783,168.551935,,,,,,,,,0.000000,0.000000,No
Block 32,296.295184,197.915715,,,,,,,,,,,
Block 32,307.455182,200.125203,,,,,,,,,,,
Block 32,312.961682,170.634892,,,,,,,,,,,
Block 32,302.440783,168.551935,,,,,,,,,,,
Block 33,312.961682,170.634892,,,,,,,,,0.000000,0.000000,No
Block 33,307.455182,200.125203,,,,,,,,,,,
Block 33,318.660529,202.091825,,,,,,,,,,,
Block 33,323.525332,172.488891,,,,,,,,,,,
Block 33,312.961682,170.634892,,,,,,,,,,,
Block 34,323.525332,172.488891,,,,,,,,,0.000000,0.000000,No
Block 34,318.660529,202.091825,,,,,,,,,,,
Block 34,329.905939,203.814652,,,,,,,,,,,
Block 34,334.126752,174.113058,,,,,,,,,,,
Block 34,323.525332,172.488891,,,,,,,,,,,
Block 35,334.126752,174.113058,,,,,,,,,0.000000,0.000000,No
Block 35,329.905939,203.814652,,,,,,,,,,,
Block 35,341.186110,205.292874,,,,,,,,,,,
Block 35,344.760942,175.506625,,,,,,,,,,,
