Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 21,182.440744,152.832033,,,,,,,,,,,
Block 21,192.911447,157.280827,,,,,,,,,,,
Block 21,204.342357,129.543950,,,,,,,,,,,
Block 21,194.471279,125.349926,,,,,,,,,,,
Block 22,204.342357,129.543950,,,,,,,,,0.000000,0.000000,No
Block 22,192.911447,157.280827,,,,,,,,,,,
Block 22,203.476290,161.501194,,,,,,,,,,,
Block 22,214.302183,133.522630,,,,,,,,,,,
Block 22,204.342357,129.543950,,,,,,,,,,,
Block 23,214.302183,133.522630,,,,,,,,,0.000000,0.000000,No
Block 23,203.476290,161.501194,,,,,,,,,,,
Block 23,214.130288,165.491145,,,,,,,,,,,
Block 23,224.346059,137.284088,,,,,,,,,,,
Block 23,214.302183,133.522630,,,,,,,,,,,
Block 24,224.346059,137.284088,,,,,,,,,0.000000,0.000000,No
Block 24,214.130288,165.491145,,,,,,,,,,,
Block 24,224.868419,169.248797,,,,,,,,,,,
Block 24,234.469249,140.826551,,,,,,,,,,,
Block 24,224.346059,137.284088,,,,,,,,,,,
Block 25,234.469249,140.826551,,,,,,,,,0.000000,0.000000,No
Block 25,224.868419,169.248797,,,,,,,,,,,
Block 25,235.685616,172.772379,,,,,,,,,,,
Block 25,244.666978,144.148349,,,,,,,,,,,
Block 25,234.469249,140.826551,,,,,,,,,,,
Block 26,244.666978,144.148349,,,,,,,,,0.000000,0.000000,No
Block 26,235.685616,172.772379,,,,,,,,,,,
Block 26,246.576780,176.060229,,,,,,,,,,,
Block 26,254.934437,147.247913,,,,,,,,,,,
Block 26,244.666978,144.148349,,,,,,,,,,,
Block 27,254.934437,147.247913,,,,,,,,,0.000000,0.000000,No
Block 27,246.576780,176.060229,,,,,,,,,,,
Block 27,257.536772,179.110797,,,,,,,,,,,
Block 27,265.266784,150.123784,,,,,,,,,,,
Block 27,254.934437,147.247913,,,,,,,,,,,
Block 28,265.266784,150.123784,,,,,,,,,0.000000,0.000000,No
Block 28,257.536772,179.110797,,,,,,,,,,,
Block 28,268.560425,181.922642,,,,,,,,,,,
Block 28,275.659145,152.774603,,,,,,,,,,,
Block 28,265.266784,150.123784,,,,,,,,,,,
Block 29,275.659145,152.774603,,,,,,,,,0.000000,0.000000,No
Block 29,268.560425,181.922642,,,,,,,,,,,
Block 29,279.642539,184.494440,,,,,,,,,,,
Block 29,286.106620,155.199122,,,,,,,,,,,
Block 29,275.659145,152.774603,,,,,,,,,,,
Block 30,286.106620,155.199122,,,,,,,,,0.000000,0.000000,No
Block 30,279.642539,184.494440,,,,,,,,,,,
Block 30,290.777888,186.824978,,,,,,,,,,,
Block 30,296.604281,157.396197,,,,,,,,,,,
Block 30,286.106620,155.199122,,,,,,,,,,,
Block 31,296.604281,157.396197,,,,,,,,,0.000000,0.000000,No
Block 31,290.777888,186.824978,,,,,,,,,,,
Block 31,301.961219,188.913156,,,,,,,,,,,
Block 31,307.147177,159.364791,,,,,,,,,,,
Block 31,296.604281,157.396197,,,,,,,,,,,
Block 32,307.147177,159.364791,,,,,,,,,0.000000,0.000000,No
Block 32,301.961219,188.913156,,,,,,,,,,,
Block 32,313.187260,190.757989,,,,,,,,,,,
Block 32,317.730336,161.103977,,,,,,,,,,,
Block 32,307.147177,159.364791,,,,,,,,,,,
Block 33,317.730336,161.103977,,,,,,,,,0.000000,0.000000,No
Block 33,313.187260,190.757989,,,,,,,,,,,
Block 33,324.450715,192.358608,,,,,,,,,,,
Block 33,328.348766,162.612933,,,,,,,,,,,
Block 33,317.730336,161.103977,,,,,,,,,,,
Block 34,328.348766,162.612933,,,,,,,,,0.000000,0.000000,No
Block 34,324.450715,192.358608,,,,,,,,,,,
Block 34,335.746272,193.714257,,,,,,,,,,,
Block 34,338.997461,163.890948,,,,,,,,,,,
Block 34,328.348766,162.612933,,,,,,,,,,,
Block 35,338.997461,163.890948,,,,,,,,,0.000000,0.000000,No
Block 35,335.746272,193.714257,,,,,,,,,,,
Block 35,347.068604,194.824298,,,,,,,,,,,
Block 35,349.671397,164.937420,,,,,,,,,,,
Block 35,338.997461,163.890948,,,,,,,,,,,
Block 36,349.671397,164.937420,,,,,,,,,0.000000,0.000000,No
Block 36,347.068604,194.824298,,,,,,,,,,,
Block 36,358.412371,195.688206,,,,,,,,,,,
Block 36,360.365541,165.751855,,,,,,,,,,,
Block 36,349.671397,164.937420,,,,,,,,,,,
Block 37,360.365541,165.751855,,,,,,,,,0.000000,0.000000,No
Block 37,358.412371,195.688206,,,,,,,,,,,
Block 37,369.772224,196.305575,,,,,,,,,,,
Block 37,371.074849,166.333869,,,,,,,,,,,
Block 37,360.365541,165.751855,,,,,,,,,,,
Block 38,371.074849,166.333869,,,,,,,,,0.000000,0.000000,No
Block 38,369.772224,196.305575,,,,,,,,,,,
Block 38,381.142804,196.676112,,,,,,,,,,,
Block 38,381.794271,166.683187,,,,,,,,,,,
Block 38,371.074849,166.333869,,,,,,,,,,,
Block 39,381.794271,166.683187,,,,,,,,,0.000000,0.000000,No
Block 39,381.142804,196.676112,,,,,,,,,,,
Block 39,392.518750,196.799644,,,,,,,,,,,
Block 39,392.518750,166.799644,,,,,,,,,,,
Block 39,381.794271,166.683187,,,,,,,,,,,
Block 40,392.518750,166.799644,,,,,,,,,0.000000,0.000000,No
Block 40,392.518750,196.799644,,,,,,,,,,,
Block 40,403.894695,196.676112,,,,,,,,,,,
Block 40,403.243229,166.683187,,,,,,,,,,,
Block 40,392.518750,166.799644,,,,,,,,,,,
Block 41,403.243229,166.683187,,,,,,,,,0.000000,0.000000,No
Block 41,403.894695,196.676112,,,,,,,,,,,
Block 41,415.265276,196.305575,,,,,,,,,,,
Block 41,413.962651,166.333869,,,,,,,,,,,
Block 41,403.243229,166.683187,,,,,,,,,,,
Block 42,413.962651,166.333869,,,,,,,,,0.000000,0.000000,No
Block 42,415.265276,196.305575,,,,,,,,,,,
Block 42,426.625128,195.688206,,,,,,,,,,,
Block 42,424.671959,165.751855,,,,,,,,,,,
Block 42,413.962651,166.333869,,,,,,,,,,,
Block 43,424.671959,165.751855,,,,,,,,,0.000000,0.000000,No
Block 43,426.625128,195.688206,,,,,,,,,,,
Block 43,437.968896,194.824298,,,,,,,,,,,
Block 43,435.366102,164.937420,,,,,,,,,,,
Block 43,424.671959,165.751855,,,,,,,,,,,
Block 44,435.366102,164.937420,,,,,,,,,0.000000,0.000000,No
Block 44,437.968896,194.824298,,,,,,,,,,,
Block 44,449.291228,193.714257,,,,,,,,,,,
Block 44,446.040039,163.890948,,,,,,,,,,,
Block 44,435.366102,164.937420,,,,,,,,,,,
Block 45,446.040039,163.890948,,,,,,,,,0.000000,0.000000,No
Block 45,449.291228,193.714257,,,,,,,,,,,
Block 45,460.586785,192.358608,,,,,,,,,,,
Block 45,456.688733,162.612933,,,,,,,,,,,
Block 45,446.040039,163.890948,,,,,,,,,,,
Block 46,456.688733,162.612933,,,,,,,,,0.000000,0.000000,No
Block 46,460.586785,192.358608,,,,,,,,,,,
Block 46,471.850240,190.757989,,,,,,,,,,,
Block 46,467.307164,161.103977,,,,,,,,,,,
Block 46,456.688733,162.612933,,,,,,,,,,,
Block 47,467.307164,161.103977,,,,,,,,,0.000000,0.000000,No
Block 47,471.850240,190.757989,,,,,,,,,,,
Block 47,483.076280,188.913156,,,,,,,,,,,
Block 47,477.890323,159.364791,,,,,,,,,,,
Block 47,467.307164,161.103977,,,,,,,,,,,
Block 48,477.890323,159.364791,,,,,,,,,0.000000,0.000000,No
Block 48,483.076280,188.913156,,,,,,,,,,,
Block 48,494.259612,186.824978,,,,,,,,,,,
Block 48,488.433219,157.396197,,,,,,,,,,,
Block 48,477.890323,159.364791,,,,,,,,,,,
Block 49,488.433219,157.396197,,,,,,,,,0.000000,0.000000,No
Block 49,494.259612,186.824978,,,,,,,,,,,
Block 49,505.394961,184.494440,,,,,,,,,,,
Block 49,498.930880,155.199122,,,,,,,,,,,
Block 49,488.433219,157.396197,,,,,,,,,,,
Block 50,498.930880,155.199122,,,,,,,,,-0.183550,-0.983010,No
Block 50,505.394961,184.494440,,,,,,,,,,,
Block 50,516.477075,181.922642,,,,,,,,,,,
Block 50,509.378354,152.774603,,,,,,,,,,,
Block 50,498.930880,155.199122,,,,,,,,,,,
Block 51,509.378354,152.774603,,,,,,,,,0.000000,0.000000,No
Block 51,516.477075,181.922642,,,,,,,,,,,
Block 51,527.500727,179.110797,,,,,,,,,,,
Block 51,519.770716,150.123784,,,,,,,,,,,
Block 51,509.378354,152.774603,,,,,,,,,,,
Block 52,519.770716,150.123784,,,,,,,,,0.000000,0.000000,No
Block 52,527.500727,179.110797,,,,,,,,,,,
Block 52,538.460720,176.060229,,,,,,,,,,,
Block 52,530.103062,147.247913,,,,,,,,,,,
Block 52,519.770716,150.123784,,,,,,,,,,,
Block 53,530.103062,147.247913,,,,,,,,,0.000000,0.000000,No
Block 53,538.460720,176.060229,,,,,,,,,,,
Block 53,549.351883,172.772379,,,,,,,,,,,
Block 53,540.370521,144.148349,,,,,,,,,,,
Block 53,530.103062,147.247913,,,,,,,,,,,
Block 54,540.370521,144.148349,,,,,,,,,0.000000,0.000000,No
Block 54,549.351883,172.772379,,,,,,,,,,,
Block 54,560.169081,169.248797,,,,,,,,,,,
Block 54,550.568251,140.826551,,,,,,,,,,,
Block 54,540.370521,144.148349,,,,,,,,,,,
Block 55,550.568251,140.826551,,,,,,,,,0.000000,0.000000,No
Block 55,560.169081,169.248797,,,,,,,,,,,
Block 55,570.907211,165.491145,,,,,,,,,,,
Block 55,560.691440,137.284088,,,,,,,,,,,
Block 55,550.568251,140.826551,,,,,,,,,,,
Block 56,560.691440,137.284088,,,,,,,,,0.000000,0.000000,No
Block 56,570.907211,165.491145,,,,,,,,,,,
Block 56,581.561210,161.501194,,,,,,,,,,,
Block 56,570.735317,133.522630,,,,,,,,,,,
Block 56,560.691440,137.284088,,,,,,,,,,,
Block 57,570.735317,133.522630,,,,,,,,,0.000000,0.000000,No
Block 57,581.561210,161.501194,,,,,,,,,,,
Block 57,592.126052,157.280827,,,,,,,,,,,
Block 57,580.695142,129.543950,,,,,,,,,,,
Block 57,570.735317,133.522630,,,,,,,,,,,
Block 58,580.695142,129.543950,,,,,,,,,0.000000,0.000000,No
Block 58,592.126052,157.280827,,,,,,,,,,,
Block 58,602.596756,152.832033,,,,,,,,,,,
Block 58,590.566220,125.349926,,,,,,,,,,,
Block 58,580.695142,129.543950,,,,,,,,,,,
Block 59,590.566220,125.349926,,,,,,,,,0.000000,0.000000,No
Block 59,602.596756,152.832033,,,,,,,,,,,
Block 59,612.968382,148.156912,,,,,,,,,,,
Block 59,600.343895,120.942535,,,,,,,,,,,
Block 59,590.566220,125.349926,,,,,,,,,,,
Block 60,600.343895,120.942535,,,,,,,,,0.000000,0.000000,No
Block 60,612.968382,148.156912,,,,,,,,,,,
Block 60,623.236041,143.257668,,,,,,,,,,,
Block 60,610.023555,116.323856,,,,,,,,,,,
Block 60,600.343895,120.942535,,,,,,,,,,,
Block 61,610.023555,116.323856,,,,,,,,,0.000000,0.000000,No
Block 61,623.236041,143.257668,,,,,,,,,,,
Block 61,633.394888,138.136611,,,,,,,,,,,
Block 61,619.600636,111.496067,,,,,,,,,,,
Block 61,610.023555,116.323856,,,,,,,,,,,
Block 62,619.600636,111.496067,,,,,,,,,0.000000,0.000000,No
Block 62,633.394888,138.136611,,,,,,,,,,,
Block 62,643.440133,132.796157,,,,,,,,,,,
Block 62,629.070620,106.461445,,,,,,,,,,,
Block 62,619.600636,111.496067,,,,,,,,,,,
