Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 21,114.288035,105.449024,,,,,,,,,,,
Block 21,121.956239,76.445599,,,,,,,,,,,
Block 21,116.196627,74.799633,,,,,,,,,,,
Block 22,121.956239,76.445599,,,,,,,,,0.000000,0.000000,No
Block 22,114.288035,105.449024,,,,,,,,,,,
Block 22,121.267621,107.146637,,,,,,,,,,,
Block 22,127.776733,77.861292,,,,,,,,,,,
Block 22,121.956239,76.445599,,,,,,,,,,,
Block 23,127.776733,77.861292,,,,,,,,,0.000000,0.000000,No
Block 23,121.267621,107.146637,,,,,,,,,,,
Block 23,128.309178,108.565436,,,,,,,,,,,
Block 23,133.648906,79.044472,,,,,,,,,,,
Block 23,127.776733,77.861292,,,,,,,,,,,
Block 24,133.648906,79.044472,,,,,,,,,0.000000,0.000000,No
Block 24,128.309178,108.565436,,,,,,,,,,,
Block 24,135.401572,109.703175,,,,,,,,,,,
Block 24,139.563475,79.993268,,,,,,,,,,,
Block 24,133.648906,79.044472,,,,,,,,,,,
Block 25,139.563475,79.993268,,,,,,,,,0.000000,0.000000,No
Block 25,135.401572,109.703175,,,,,,,,,,,
Block 25,142.533590,110.558058,,,,,,,,,,,
Block 25,145.511087,80.706182,,,,,,,,,,,
Block 25,139.563475,79.993268,,,,,,,,,,,
Block 26,145.511087,80.706182,,,,,,,,,0.000000,0.000000,No
Block 26,142.533590,110.558058,,,,,,,,,,,
Block 26,149.693956,111.128731,,,,,,,,,,,
Block 26,151.482339,81.182084,,,,,,,,,,,
Block 26,145.511087,80.706182,,,,,,,,,,,
Block 27,151.482339,81.182084,,,,,,,,,0.000000,0.000000,No
Block 27,149.693956,111.128731,,,,,,,,,,,
Block 27,156.871348,111.414294,,,,,,,,,,,
Block 27,157.467790,81.420224,,,,,,,,,,,
Block 27,151.482339,81.182084,,,,,,,,,,,
Block 28,157.467790,81.420224,,,,,,,,,0.000000,0.000000,No
Block 28,156.871348,111.414294,,,,,,,,,,,
Block 28,164.054419,111.414294,,,,,,,,,,,
Block 28,163.457977,81.420224,,,,,,,,,,,
Block 28,157.467790,81.420224,,,,,,,,,,,
Block 29,163.457977,81.420224,,,,,,,,,0.000000,0.000000,No
Block 29,164.054419,111.414294,,,,,,,,,,,
Block 29,171.231812,111.128731,,,,,,,,,,,
Block 29,169.443428,81.182084,,,,,,,,,,,
Block 29,163.457977,81.420224,,,,,,,,,,,
Block 30,169.443428,81.182084,,,,,,,,,0.000000,0.000000,No
Block 30,171.231812,111.128731,,,,,,,,,,,
Block 30,178.392178,110.558058,,,,,,,,,,,
Block 30,175.414681,80.706182,,,,,,,,,,,
Block 30,169.443428,81.182084,,,,,,,,,,,
Block 31,175.414681,80.706182,,,,,,,,,0.000000,0.000000,No
Block 31,178.392178,110.558058,,,,,,,,,,,
Block 31,185.524196,109.703175,,,,,,,,,,,
Block 31,181.362293,79.993268,,,,,,,,,,,
Block 31,175.414681,80.706182,,,,,,,,,,,
Block 32,181.362293,79.993268,,,,,,,,,0.000000,0.000000,No
Block 32,185.524196,109.703175,,,,,,,,,,,
Block 32,192.616590,108.565436,,,,,,,,,,,
Block 32,187.276861,79.044472,,,,,,,,,,,
Block 32,181.362293,79.993268,,,,,,,,,,,
Block 33,187.276861,79.044472,,,,,,,,,0.000000,0.000000,No
Block 33,192.616590,108.565436,,,,,,,,,,,
Block 33,199.658147,107.146637,,,,,,,,,,,
Block 33,193.149035,77.861292,,,,,,,,,,,
Block 33,187.276861,79.044472,,,,,,,,,,,
Block 34,193.149035,77.861292,,,,,,,,,0.000000,0.000000,No
Block 34,199.658147,107.146637,,,,,,,,,,,
Block 34,206.637732,105.449024,,,,,,,,,,,
Block 34,198.969529,76.445599,,,,,,,,,,,
Block 34,193.149035,77.861292,,,,,,,,,,,
Block 35,198.969529,76.445599,,,,,,,,,0.000000,0.000000,No
Block 35,206.637732,105.449024,,,,,,,,,,,
Block 35,213.544312,103.475280,,,,,,,,,,,
Block 35,204.729141,74.799633,,,,,,,,,,,
Block 35,198.969529,76.445599,,,,,,,,,,,
Block 36,204.729141,74.799633,,,,,,,,,0.000000,0.000000,No
Block 36,213.544312,103.475280,,,,,,,,,,,
Block 36,220.366965,101.228526,,,,,,,,,,,
Block 36,210.418764,72.925994,,,,,,,,,,,
Block 36,204.729141,74.799633,,,,,,,,,,,
Block 37,210.418764,72.925994,,,,,,,,,0.000000,0.000000,No
Block 37,220.366965,101.228526,,,,,,,,,,,
Block 37,227.094906,98.712313,,,,,,,,,,,
Block 37,216.029404,70.827646,,,,,,,,,,,
Block 37,210.418764,72.925994,,,,,,,,,,,
Block 38,216.029404,70.827646,,,,,,,,,0.000000,0.000000,No
Block 38,227.094906,98.712313,,,,,,,,,,,
Block 38,233.717495,95.930620,,,,,,,,,,,
Block 38,221.552188,68.507906,,,,,,,,,,,
Block 38,216.029404,70.827646,,,,,,,,,,,
Block 39,221.552188,68.507906,,,,,,,,,0.000000,0.000000,No
Block 39,233.717495,95.930620,,,,,,,,,,,
Block 39,240.224264,92.887846,,,,,,,,,,,
Block 39,226.978384,65.970442,,,,,,,,,,,
Block 39,221.552188,68.507906,,,,,,,,,,,
Block 40,226.978384,65.970442,,,,,,,,,0.000000,0.000000,No
Block 40,240.224264,92.887846,,,,,,,,,,,
Block 40,246.604923,89.588802,,,,,,,,,,,
Block 40,232.299415,63.219265,,,,,,,,,,,
Block 40,226.978384,65.970442,,,,,,,,,,,
Block 41,232.299415,63.219265,,,,,,,,,0.000000,0.000000,No
Block 41,246.604923,89.588802,,,,,,,,,,,
Block 41,252.849384,86.038702,,,,,,,,,,,
Block 41,237.506866,60.258727,,,,,,,,,,,
Block 41,232.299415,63.219265,,,,,,,,,,,
Block 42,237.506866,60.258727,,,,,,,,,0.000000,0.000000,No
Block 42,252.849384,86.038702,,,,,,,,,,,
Block 42,258.947775,82.243161,,,,,,,,,,,
Block 42,242.592504,57.093506,,,,,,,,,,,
Block 42,237.506866,60.258727,,,,,,,,,,,
Block 43,242.592504,57.093506,,,,,,,,,0.000000,0.000000,No
Block 43,258.947775,82.243161,,,,,,,,,,,
Block 43,264.890454,78.208179,,,,,,,,,,,
Block 43,247.548289,53.728609,,,,,,,,,,,
Block 43,242.592504,57.093506,,,,,,,,,,,
Block 44,247.548289,53.728609,,,,,,,,,0.000000,0.000000,No
Block 44,264.890454,78.208179,,,,,,,,,,,
Block 44,270.668024,73.940136,,,,,,,,,,,
Block 44,252.366385,50.169355,,,,,,,,,,,
Block 44,247.548289,53.728609,,,,,,,,,,,
Block 45,252.366385,50.169355,,,,,,,,,0.000000,0.000000,No
Block 45,270.668024,73.940136,,,,,,,,,,,
Block 45,276.271351,69.445780,,,,,,,,,,,
Block 45,257.039174,46.421371,,,,,,,,,,,
Block 45,252.366385,50.169355,,,,,,,,,,,
Block 46,257.039174,46.421371,,,,,,,,,0.000000,0.000000,No
Block 46,276.271351,69.445780,,,,,,,,,,,
Block 46,281.691575,64.732217,,,,,,,,,,,
Block 46,261.559268,42.490584,,,,,,,,,,,
Block 46,257.039174,46.421371,,,,,,,,,,,
Block 47,261.559268,42.490584,,,,,,,,,0.000000,0.000000,No
Block 47,281.691575,64.732217,,,,,,,,,,,
Block 47,286.920127,59.806899,,,,,,,,,,,
Block 47,265.919520,38.383209,,,,,,,,,,,
Block 47,261.559268,42.490584,,,,,,,,,,,
Block 48,265.919520,38.383209,,,,,,,,,0.000000,0.000000,No
Block 48,286.920127,59.806899,,,,,,,,,,,
Block 48,291.948740,54.677614,,,,,,,,,,,
Block 48,270.113037,34.105738,,,,,,,,,,,
Block 48,265.919520,38.383209,,,,,,,,,,,
Block 49,270.113037,34.105738,,,,,,,,,0.000000,0.000000,No
Block 49,291.948740,54.677614,,,,,,,,,,,
Block 49,296.769463,49.352472,,,,,,,,,,,
Block 49,274.133188,29.664936,,,,,,,,,,,
Block 49,270.113037,34.105738,,,,,,,,,,,
Block 50,274.133188,29.664936,,,,,,,,,0.000000,0.000000,No
Block 50,296.769463,49.352472,,,,,,,,,,,
Block 50,301.374674,43.839893,,,,,,,,,,,
Block 50,277.973618,25.067824,,,,,,,,,,,
Block 50,274.133188,29.664936,,,,,,,,,,,
Block 51,277.973618,25.067824,,,,,,,,,0.000000,0.000000,No
Block 51,301.374674,43.839893,,,,,,,,,,,
Block 51,305.757093,38.148591,,,,,,,,,,,
Block 51,281.628253,20.321670,,,,,,,,,,,
Block 51,277.973618,25.067824,,,,,,,,,,,
Block 52,281.628253,20.321670,,,,,,,,,0.000000,0.000000,No
Block 52,305.757093,38.148591,,,,,,,,,,,
Block 52,309.909789,32.287565,,,,,,,,,,,
Block 52,285.091316,15.433979,,,,,,,,,,,
Block 52,281.628253,20.321670,,,,,,,,,,,
Block 53,285.091316,15.433979,,,,,,,,,0.000000,0.000000,No
Block 53,309.909789,32.287565,,,,,,,,,,,
Block 53,313.826198,26.266083,,,,,,,,,,,
Block 53,288.357331,10.412477,,,,,,,,,,,
Block 53,285.091316,15.433979,,,,,,,,,,,
Block 54,288.357331,10.412477,,,,,,,,,0.000000,0.000000,No
Block 54,313.826198,26.266083,,,,,,,,,,,
Block 54,317.500127,20.093664,,,,,,,,,,,
Block 54,291.421135,5.265104,,,,,,,,,,,
Block 54,288.357331,10.412477,,,,,,,,,,,
Block 55,291.421135,5.265104,,,,,,,,,0.000000,0.000000,No
Block 55,317.500127,20.093664,,,,,,,,,,,
Block 55,320.925768,13.780068,,,,,,,,,,,
Block 55,294.277884,0.000000,,,,,,,,,,,
Block 55,291.421135,5.265104,,,,,,,,,,,
